Symbol,Date,Prev_Close,Open_Price,High_Price,Low_Price,Close_Price
SUNTV,9-Jan-18,1044.45,1046,1053.15,1029.35,1032.75
SUNTV,10-Jan-18,1032.75,1032.05,1036.45,1017.2,1022.15
SUNTV,11-Jan-18,1022.15,1025,1049.1,1013.8,1043.6
SUNTV,12-Jan-18,1043.6,1050,1079.8,1050,1077.1
SUNTV,15-Jan-18,1077.1,1082,1083.95,1066.1,1073.5
SUNTV,16-Jan-18,1073.5,1075,1097.8,1066.1,1079.15
SUNTV,17-Jan-18,1079.15,1077,1077.1,1046.4,1058.15
SUNTV,18-Jan-18,1058.15,1060,1090,1033.1,1039
SUNTV,19-Jan-18,1039,1039,1055.95,1014.4,1050.2
SUNTV,22-Jan-18,1050.2,1048,1056.6,1028.55,1033.65
SUNTV,23-Jan-18,1033.65,1036.3,1052.6,1032.05,1040.4
SUNTV,24-Jan-18,1040.4,1043.35,1053.15,1020.65,1033.6
SUNTV,25-Jan-18,1033.6,1033.6,1049.5,1030.05,1033.7
SUNTV,29-Jan-18,1033.7,1039.6,1045.8,1017.95,1021.1
SUNTV,30-Jan-18,1021.1,1021.1,1032.4,1002.3,1027.55
SUNTV,31-Jan-18,1027.55,1028.8,1030,1015.6,1024.4
SUNTV,1-Feb-18,1024.4,1028,1029.3,976.5,1012.4
SUNTV,2-Feb-18,1012.4,1005,1008.95,935,953.15
SUNTV,5-Feb-18,953.15,947.65,967,901.45,953.6
SUNTV,6-Feb-18,953.6,920.3,948.55,893.55,935.75
SUNTV,7-Feb-18,935.75,936.9,1029.3,924.05,933.1
SUNTV,8-Feb-18,933.1,936,1013.25,913.25,1006.55
SUNTV,9-Feb-18,1006.55,951.35,998,951.35,973.55
SUNTV,12-Feb-18,973.55,1000.1,1000.25,971.4,985.1
SUNTV,14-Feb-18,985.1,992,1026.9,981.4,998.4
SUNTV,15-Feb-18,998.4,1001.9,1015.5,973.6,979.55
SUNTV,16-Feb-18,979.55,983.85,986.9,920,925.1
SUNTV,19-Feb-18,925.1,929,929.5,871.85,887.8
SUNTV,20-Feb-18,887.8,891,922,888.45,909.05
SUNTV,21-Feb-18,909.05,918.85,937.9,909.7,932.85
SUNTV,22-Feb-18,932.85,929.25,929.5,903.15,908.3
