Symbol,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price
INDIGO,19-Apr-18,1474.65,1465.75,1492,1454.2,1485.25,1486.7
INDIGO,20-Apr-18,1486.7,1485,1520,1473.05,1502.6,1503.35
INDIGO,23-Apr-18,1503.35,1502,1506,1476.05,1494,1486.4
INDIGO,24-Apr-18,1486.4,1480,1497,1463.75,1493,1486.15
INDIGO,25-Apr-18,1486.15,1481,1504.95,1481,1495,1493.4
INDIGO,26-Apr-18,1493.4,1494.95,1511.15,1472.4,1500,1498.6
INDIGO,27-Apr-18,1498.6,1497,1498.75,1401.65,1404.1,1407.8
INDIGO,30-Apr-18,1407.8,1360,1443.45,1357.25,1400,1402.8
INDIGO,2-May-18,1402.8,1412.8,1412.8,1331.1,1348.3,1342.85
INDIGO,3-May-18,1342.85,1285,1294,1077.55,1200.05,1206.05
INDIGO,4-May-18,1206.05,1211.1,1217.3,1168.7,1177.9,1182.25
INDIGO,7-May-18,1182.25,1182.25,1202.7,1140.1,1167.1,1167.45
INDIGO,8-May-18,1167.45,1171,1203.7,1158.3,1200.25,1195.95
INDIGO,9-May-18,1195.95,1180,1188,1161,1170.05,1171.05
INDIGO,10-May-18,1171.05,1163.25,1182.5,1140.8,1141.35,1145.9
INDIGO,11-May-18,1145.9,1151,1167.95,1138.2,1162.3,1162.95
INDIGO,14-May-18,1162.95,1174.7,1191.6,1150,1190,1187.65
INDIGO,15-May-18,1187.65,1187.65,1248.6,1187,1191,1197.4
INDIGO,16-May-18,1197.4,1188,1209.95,1179.05,1203.35,1203.5
INDIGO,17-May-18,1203.5,1203.5,1206.2,1171.55,1172.35,1179.4
INDIGO,18-May-18,1179.4,1172.35,1194.7,1126.8,1138.65,1140.2
INDIGO,21-May-18,1140.2,1140,1153.3,1085,1143,1133.95
INDIGO,22-May-18,1133.95,1138,1154.9,1109.75,1142,1141
INDIGO,23-May-18,1141,1137.6,1168.25,1114.85,1160,1160.7
INDIGO,24-May-18,1160.7,1144,1169.7,1142.2,1163.25,1164.9
INDIGO,25-May-18,1164.9,1174,1224.6,1171.5,1224.5,1211.85
INDIGO,28-May-18,1211.85,1252.85,1276.45,1234.25,1243,1249.1
INDIGO,29-May-18,1249.1,1247,1265.95,1210.05,1212.5,1218.15
INDIGO,30-May-18,1218.15,1224.25,1249.6,1216.8,1241,1239.05
INDIGO,31-May-18,1239.05,1244.95,1256,1194.3,1203,1219.25
INDIGO,1-Jun-18,1219.25,1209.25,1225.35,1171.8,1176.9,1176.8
INDIGO,4-Jun-18,1176.8,1194.7,1216.2,1166.85,1176.55,1177.2
INDIGO,5-Jun-18,1177.2,1179.95,1189,1155.1,1185,1176.5
INDIGO,6-Jun-18,1176.5,1174,1198.8,1161.25,1168,1170.4
INDIGO,7-Jun-18,1170.4,1174,1201.6,1165.6,1171,1171.45
INDIGO,8-Jun-18,1171.45,1171,1193.7,1165,1178.9,1186.3
INDIGO,11-Jun-18,1186.3,1190,1197.35,1180.25,1185,1188.4
INDIGO,12-Jun-18,1188.4,1190,1206,1188.45,1196,1196.5
INDIGO,13-Jun-18,1196.5,1197,1233.05,1197,1219,1218.95
INDIGO,14-Jun-18,1218.95,1218.95,1234.8,1215.5,1223,1224.15
INDIGO,15-Jun-18,1224.15,1208.85,1230,1201.8,1226.7,1220.45
INDIGO,18-Jun-18,1220.45,1240,1249.9,1230.35,1240.65,1241.35
INDIGO,19-Jun-18,1241.35,1235,1250,1224.1,1228,1228.65
INDIGO,20-Jun-18,1228.65,1221,1221,1126.35,1136.45,1136.45
INDIGO,21-Jun-18,1136.45,1153,1204.7,1150,1179,1175.95
INDIGO,22-Jun-18,1175.95,1179,1190.6,1160.1,1188.4,1187.25
INDIGO,25-Jun-18,1187.25,1187,1198,1161.2,1171.1,1173.1
INDIGO,26-Jun-18,1173.1,1172,1184.2,1156.8,1157,1169.8
INDIGO,27-Jun-18,1169.8,1165.9,1165.9,1137,1140,1149.5
INDIGO,28-Jun-18,1149.5,1135.9,1148,1077,1104,1100.15
INDIGO,29-Jun-18,1100.15,1100,1125.7,1070.1,1090,1088.5
INDIGO,2-Jul-18,1088.5,1093,1098.5,1038.3,1047,1049.65
INDIGO,3-Jul-18,1049.65,1048,1070,1035.3,1069,1063.95
INDIGO,4-Jul-18,1063.95,1065,1085,1063.8,1083.55,1081.1
INDIGO,5-Jul-18,1081.1,1085,1090.25,1069.05,1078.25,1075.9
INDIGO,6-Jul-18,1075.9,1082,1097.2,1062.55,1075.45,1075.45
INDIGO,9-Jul-18,1075.45,1090,1090,1074.4,1080,1083.95
INDIGO,10-Jul-18,1083.95,1088,1103,1080.3,1090.6,1090.6
INDIGO,11-Jul-18,1090.6,1097,1097,1061,1074,1073.9
INDIGO,12-Jul-18,1073.9,1100,1137.05,1084.05,1127.8,1124.3
